Technology,Scenario,Variable,Index,Value,Units,Notes
Class 8 Diesel Tractor,Reference,Scale,VMT,100000,mile/year,Average yearly VMT for Class 8 diesel tractor
Class 8 Diesel Tractor,Reference,Lifetime,Glider,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Lifetime,Fuel converter,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Lifetime,Fuel storage,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Lifetime,Battery,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Lifetime,Electric drive,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Lifetime,Plug,10,year,Lifetime of component
Class 8 Diesel Tractor,Reference,Input,Fuel,1,gge,Gasoline gallon equivalent
Class 8 Diesel Tractor,Reference,Input efficiency,Fuel,0.125754527,gge/mile,Inverse of diesel fuel economy of 7 mile/dge
Class 8 Diesel Tractor,Reference,Input price,Fuel,3.976,$/gge,Equates to a $3.5/gal diesel price
Class 8 Diesel Tractor,Reference,Output efficiency,VMT,1,mile/mile,Placeholder varible since output is needed
Class 8 Diesel Tractor,Reference,Output price,VMT,0,$/mi,Placeholder varible since output is needed
