Technology	Scenario	Parameter	Offset	Value	Units	Notes
ATJ Corn Dry Mill	State of Technology	Annual GHG	0	st.triang(0.5,311143239,69142942)	kg CO2eq/yr	72 g CO2eq/MJ jet product; Source: Han 2021
ATJ Corn Dry Mill	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Corn Dry Mill	State of Technology	Discount Rate	2	0.1	unitless	
ATJ Corn Dry Mill	State of Technology	Depreciation Period	3	7	years	
ATJ Corn Dry Mill	State of Technology	Income Tax Rate	4	0.35	unitless	
ATJ Corn Dry Mill	State of Technology	Capital	5	203000000	USD/biorefinery	Tao et al (2016) ATJ; Fig 6
ATJ Corn Dry Mill	State of Technology	Fixed	6	24180400	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Corn Dry Mill	State of Technology	DDGS	7	119040	kg/year	$26162400/yr DDGS revenue (Table 7); price is $199.38/US ton in 2011
ATJ Corn Dry Mill	State of Technology	Electricity	8	0	kWh/year	electricity not produced by dry mill process
ATJ Corn Dry Mill	State of Technology	Diesel	9	4070000	gal/year	Tao et al (2016) ATJ; Table 6
ATJ Corn Dry Mill	State of Technology	Gasoline	10	9340000	gal/year	Tao et al (2016) ATJ; Table 6
ATJ Corn Dry Mill	State of Technology	Propane	11	0	gal/year	
ATJ Corn Dry Mill	State of Technology	Jet	12	st.triang(0.5, 35676000,7928000)	gal/year	Tao et al (2016) ATJ; Table 6 +/- 10%
ATJ Corn Dry Mill	State of Technology	DDGS Price	13	0.22	USD/kg	
ATJ Corn Dry Mill	State of Technology	Electricity Price	14	0.057	USD/kWh	
ATJ Corn Dry Mill	State of Technology	Diesel Price	15	3.25	USD/gal	
ATJ Corn Dry Mill	State of Technology	Gasoline Price	16	2	USD/gal	
ATJ Corn Dry Mill	State of Technology	Propane Price	17	0.6	USD/gal	
ATJ Corn Dry Mill	State of Technology	Feedstock Price	18	187.04	USD/dry metric ton biomass	
ATJ Corn Dry Mill	State of Technology	Raw Material Price	19	1000	USD/kg	
ATJ Corn Dry Mill	Moderate	Annual GHG	0	st.triang(0.5,343035421,76230094)	kg CO2eq/yr	81 g CO2eq/MJ jet product; calculated from jet output
ATJ Corn Dry Mill	Moderate	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Corn Dry Mill	Moderate	Discount Rate	2	0.1	unitless	
ATJ Corn Dry Mill	Moderate	Depreciation Period	3	7	years	
ATJ Corn Dry Mill	Moderate	Income Tax Rate	4	0.35	unitless	
