Technology	Scenario	Parameter	Offset	Value	Units	Notes
Biorefinery	Ideal	Fermentation yield	0	0.82		
Biorefinery	Ideal	Conversion yield	1	0.95		
Biorefinery	Ideal	Jobs	2	4.0		
Biorefinery	Ideal	Capital cost for Preprocessing	3	1000	USD	
Biorefinery	Ideal	Capital cost for Fermentation	4	1500	USD	
Biorefinery	Ideal	Capital cost for Conversion	5	750	USD	
Biorefinery	Ideal	Capital cost for Separation	6	1250	USD	
Biorefinery	Ideal	Fixed cost   for Rent	7	5000	USD/year	
Biorefinery	Ideal	Fixed cost   for Insurance	8	2000	USD/year	
Biorefinery	Actual	Fermentation yield	0	0.7		
Biorefinery	Actual	Conversion yield	1	0.81		
Biorefinery	Actual	Jobs	2	2.0		
Biorefinery	Actual	Capital cost for Preprocessing	3	1000	USD	
Biorefinery	Actual	Capital cost for Fermentation	4	1500	USD	
Biorefinery	Actual	Capital cost for Conversion	5	750	USD	
Biorefinery	Actual	Capital cost for Separation	6	1250	USD	
Biorefinery	Actual	Fixed cost for Rent	7	5000	USD/year	
Biorefinery	Actual	Fixed cost for Insurance	8	2000	USD/year	
