Technology	Scenario	Variable	Index	Value	Units	Notes
Biorefinery	Ideal	Input	Feedstock	3000	tons feedstock/biorefinery	
Biorefinery	Ideal	Input efficiency	Feedstock	0.9	1	
Biorefinery	Ideal	Input	Energy	5000	MJ/biorefinery	
Biorefinery	Ideal	Input efficiency	Energy	0.85	1	
Biorefinery	Ideal	Output efficiency	Product	0.89	1	
Biorefinery	Ideal	Lifetime	Preprocessing	25	year	
Biorefinery	Ideal	Lifetime	Fermentation	25	year	
Biorefinery	Ideal	Lifetime	Conversion	25	year	
Biorefinery	Ideal	Lifetime	Separation	25	year	
Biorefinery	Ideal	Scale		1	biorefinery/year	
Biorefinery	Ideal	Input price	Feedstock	45	USD/ton feedstock	
Biorefinery	Ideal	Input price	Energy	0.5	USD/MJ	
Biorefinery	Ideal	Output price	Product	600	USD/ton product	
Biorefinery	Actual	Input	Feedstock	3000	tons feedstock/biorefinery	
Biorefinery	Actual	Input efficiency	Feedstock	0.82	1	
Biorefinery	Actual	Input	Energy	5000	MJ/biorefinery	
Biorefinery	Actual	Input efficiency	Energy	0.71	1	
Biorefinery	Actual	Output efficiency	Product	0.8	1	
Biorefinery	Actual	Lifetime	Preprocessing	25	year	
Biorefinery	Actual	Lifetime	Fermentation	25	year	
Biorefinery	Actual	Lifetime	Conversion	25	year	
Biorefinery	Actual	Lifetime	Separation	25	year	
Biorefinery	Actual	Scale		1	biorefinery/year	
Biorefinery	Actual	Input price	Feedstock	45	USD/ton feedstock	
Biorefinery	Actual	Input price	Energy	0.5	USD/MJ	
Biorefinery	Actual	Output price	Product	600	USD/ton product	
