Investment	Category	Tranche	Notes
Low R&D	Preprocessing	Preprocessing 0	
Moderate R&D	Preprocessing	Preprocessing 1	
High R&D	Preprocessing	Preprocessing 2	
Low R&D	Fermentation	Fermentation 0	
Moderate R&D	Fermentation	Fermentation 1	
High R&D	Fermentation	Fermentation 2	
Low R&D	Conversion	Conversion 0	
Moderate R&D	Conversion	Conversion 1	
High R&D	Conversion	Conversion 2	
Low R&D	Separations	Separations 0	
Moderate R&D	Separations	Separations 1	
High R&D	Separations	Separations 2	
