EXOGENOUS COST FACTORS-DATABASE,U.S.,Urban China,Lowest-Cost China,REC FBR  (U.S.),GCL (China),Renesola (China),Hemlock (U.S.),Tokuyama (Japan),OCI (South Korea),MEMC FBR (U.S.),Wacker (Germany),Daqo (China),,,,,,,,
Unskilled Direct Wages,13.55,1.58,0.63,12.51,1.65,0.98,15.37,10.89,7.49,10.14,14.31,0.63,,,,,,,,
Skilled Direct Wages,23.68,2.77,1.09,19.42,2.89,1.72,23.46,19.03,13.09,29.29,25.02,1.11,,,,,,,,
Indirect Salary,82491.00,9641.00,3793.00,93340.00,11386.00,6783.00,96630.00,74973.00,51554.00,95290.00,98574.00,4361.00,,,,,,,,
Indirect:Direct Labor Ratio,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,
Benefits on Wage and Salary,0.33,0.35,0.35,0.33,0.35,0.35,0.33,0.43,0.33,0.33,0.42,0.35,,,,,,,,
Working Days per Year,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,,,,,,,,
Working Hours per Day,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,,,,,,,
Capital Recovery Rate,0.14,0.13,0.13,0.12,0.15,0.12,0.13,0.13,0.15,0.14,0.13,0.13,,,,,,,,
Equipment Recovery Life,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,
Building Recovery Life,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,,,,,,,,
Working Capital Period,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,,,,,,,,
Price of Electricity,0.045,0.11,0.05,0.04,0.10,0.06,0.07,0.14,0.10,0.06,0.13,0.04,,,,,,,,
Price of Natural Gas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Price of Building Space,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,
Price of CR10K Building Space,50.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,
Price of CR1K Building Space,500.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,
Price of CR100Building Space,5000.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,,,,,,,,
Installation Costs,3.30,2.50,2.50,3.30,2.50,2.50,3.30,3.30,3.30,3.30,3.30,2.50,,,,,,,,
Equipment Discount,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Expected inflation rate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Corporate Tax Rate,0.28,0.22,0.22,0.28,0.22,0.22,0.28,0.39,0.24,0.28,0.28,0.22,,,,,,,,
SG&A (including freight),0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,
R&D,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,
Labor Count Multiplier,0.64,0.96,0.96,1.00,0.96,0.96,0.65,0.65,0.65,1.00,0.65,0.96,,,,,,,,
CapEx Correction Factor,0.87,0.86,0.86,1.45,0.77,0.85,1.45,0.87,0.87,1.45,1.45,0.77,,,,,,,,
Electricity Multiplier,0.50,0.50,0.50,0.15,0.65,0.90,0.95,0.65,0.65,0.15,0.95,0.65,,,,,,,,
