Technology,Type,Index,Offset,Description,Notes
Wind Turbine,Capital,Rotor,0,"Rotor blades, hub, bearings, spinner, nose.",
Wind Turbine,Capital,Drive,1,"Drive, gearbox, bearings, electronics, frame, hydraulics.",
Wind Turbine,Capital,Tower,2,The tower.,
Wind Turbine,Capital,BOS,3,"Foundations, roads, civil work.",
Wind Turbine,Input,Wind,0,Just a placeholder because at least one input is required.,
Wind Turbine,Output,Electricity,0,Annual energy output.,
Wind Turbine,Metric,Cost,0,Cost of the wind turbine.,
Wind Turbine,Metric,LCOE,1,Levelized cost of energy.,
Wind Turbine,Metric,CF,2,Capacity factor.,
Wind Turbine,Metric,AEP,3,Annual energy production.,
