Investment	Category	Tranche	Notes
High R&D	Preprocessing	Preprocessing 2	
High R&D	Fermentation	Fermentation 2	
High R&D	Conversion	Conversion 2	
High R&D	Separations	Separations 2	
Low R&D	Preprocessing	Preprocessing 0	
Low R&D	Fermentation	Fermentation 0	
Low R&D	Conversion	Conversion 0	
Low R&D	Separations	Separations 0	
Moderate R&D	Preprocessing	Preprocessing 1	
Moderate R&D	Fermentation	Fermentation 1	
Moderate R&D	Conversion	Conversion 1	
Moderate R&D	Separations	Separations 1	
No R&D	Preprocessing	Preprocessing Reference	
No R&D	Fermentation	Fermentation Reference	
No R&D	Conversion	Conversion Reference	
No R&D	Separations	Separations Reference	
