Category	Tranche	Scenario	Amount	Notes
Conversion	Conversion Reference	Bioreference	0	
Conversion	Conversion 0	Conversion 0	800000	
Conversion	Conversion 1	Conversion 1	2000000	
Conversion	Conversion 2	Conversion 2	2250000	
Fermentation	Fermentation Reference	Bioreference	0	
Fermentation	Fermentation 0	Fermentation 0	250000	
Fermentation	Fermentation 1	Fermentation 1	400000	
Fermentation	Fermentation 2	Fermentation 2	500000	
Preprocessing	Preprocessing Reference	Bioreference	0	
Preprocessing	Preprocessing 0	Preprocessing 0	500000	
Preprocessing	Preprocessing 1	Preprocessing 1	1500000	
Preprocessing	Preprocessing 2	Preprocessing 2	1750000	
Separations	Separations Reference	Bioreference	0	
Separations	Separations 0	Separations 0	500000	
Separations	Separations 1	Separations 1	2000000	
Separations	Separations 2	Separations 2	4000000	
