Technology	Variable	Index	Units	Notes
Biorefinery v1	Input	Feedstock	metric ton/year	per one year of expected operations
Biorefinery v1	Input price	Feedstock	USD/metric ton	average over expected biorefinery lifetime
Biorefinery v1	Input efficiency	Feedstock	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery v1	Input	Natural Gas	MJ/year	
Biorefinery v1	Input price	Natural Gas	USD/MJ	
Biorefinery v1	Input efficiency	Natural Gas	1	unitless fraction
Biorefinery v1	Output price	Biofuel	USD/gal	average over expected biorefinery lifetime
Biorefinery v1	Output efficiency	Biofuel	1	unitless fraction
Biorefinery v1	Lifetime	Biorefinery	years	
Biorefinery v1	Scale	Biorefinery	unitless	
